client_code,date,amount,currency,type,category,description,balance,merchant
CLIENT_001,2025-07-02,-10952.35151431887,KZT,debit,авиабилет,Транзакция авиабилет на сумму 10952.35 ₸,88579.91821770024,Merchant_66
CLIENT_001,2025-05-08,10360.876344763004,KZT,credit,кафе,Транзакция кафе на сумму 10360.88 ₸,98940.79456246324,Merchant_90
CLIENT_001,2025-06-25,15792.277613390035,KZT,credit,фитнес,Транзакция фитнес на сумму 15792.28 ₸,114733.07217585327,Merchant_30
CLIENT_001,2025-06-18,13863.122177098247,KZT,credit,парфюм,Транзакция парфюм на сумму 13863.12 ₸,128596.19435295153,Merchant_32
CLIENT_001,2025-09-10,-13034.20229673471,KZT,debit,ювелирные,Транзакция ювелирные на сумму 13034.20 ₸,115561.99205621681,Merchant_54
CLIENT_001,2025-07-03,2019.848200850819,KZT,credit,hotel,Транзакция hotel на сумму 2019.85 ₸,117581.84025706763,Merchant_78
CLIENT_001,2025-06-29,-8300.74544336406,KZT,debit,путешествие,Транзакция путешествие на сумму 8300.75 ₸,109281.09481370356,Merchant_91
CLIENT_001,2025-09-07,3131.6348011100736,KZT,credit,музыка,Транзакция музыка на сумму 3131.63 ₸,112412.72961481364,Merchant_77
CLIENT_001,2025-07-19,-5406.215381996208,KZT,debit,отель,Транзакция отель на сумму 5406.22 ₸,107006.51423281743,Merchant_99
CLIENT_001,2025-08-10,10840.020931770929,KZT,credit,hotel,Транзакция hotel на сумму 10840.02 ₸,117846.53516458835,Merchant_87
CLIENT_001,2025-06-15,-6418.357618571277,KZT,debit,entertainment,Транзакция entertainment на сумму 6418.36 ₸,111428.17754601708,Merchant_3
CLIENT_001,2025-08-22,20648.163840066423,KZT,credit,премиум,Транзакция премиум на сумму 20648.16 ₸,132076.3413860835,Merchant_74
CLIENT_001,2025-03-29,-16244.33691665516,KZT,debit,отель,Транзакция отель на сумму 16244.34 ₸,115832.00446942836,Merchant_41
CLIENT_001,2025-06-12,3296.7321389322096,KZT,credit,билет,Транзакция билет на сумму 3296.73 ₸,119128.73660836057,Merchant_36
CLIENT_001,2025-06-28,12946.627801748607,KZT,credit,обмен валют,Транзакция обмен валют на сумму 12946.63 ₸,132075.36441010918,Merchant_14
CLIENT_001,2025-06-02,5374.600555913585,KZT,credit,travel,Транзакция travel на сумму 5374.60 ₸,137449.96496602276,Merchant_62
CLIENT_001,2025-04-03,-5278.042761962903,KZT,fx_sell,fx_sell,Транзакция fx_sell на сумму 5278.04 ₸,132171.92220405987,Merchant_30
CLIENT_001,2025-08-09,-10813.64961629325,KZT,debit,билет,Транзакция билет на сумму 10813.65 ₸,121358.27258776662,Merchant_10
CLIENT_001,2025-05-10,3531.038989480796,KZT,credit,travel,Транзакция travel на сумму 3531.04 ₸,124889.31157724743,Merchant_57
CLIENT_001,2025-04-15,10673.346354599411,KZT,credit,cosmetics,Транзакция cosmetics на сумму 10673.35 ₸,135562.65793184683,Merchant_60
CLIENT_001,2025-09-01,1718.0894846017047,KZT,credit,hotel,Транзакция hotel на сумму 1718.09 ₸,137280.74741644855,Merchant_37
CLIENT_001,2025-05-16,4829.253174218877,KZT,credit,education,Транзакция education на сумму 4829.25 ₸,142110.00059066742,Merchant_33
CLIENT_001,2025-07-30,-3182.390793082129,KZT,debit,yandex,Транзакция yandex на сумму 3182.39 ₸,138927.6097975853,Merchant_95
CLIENT_001,2025-04-15,-5623.631983264733,KZT,debit,jewelry,Транзакция jewelry на сумму 5623.63 ₸,133303.97781432056,Merchant_89
CLIENT_001,2025-04-04,-6235.246821712895,KZT,debit,книги,Транзакция книги на сумму 6235.25 ₸,127068.73099260767,Merchant_85
CLIENT_001,2025-08-21,-3209.2879985531686,KZT,debit,автобус,Транзакция автобус на сумму 3209.29 ₸,123859.44299405451,Merchant_65
CLIENT_001,2025-06-05,-6081.462472361898,KZT,debit,такси,Транзакция такси на сумму 6081.46 ₸,117777.9805216926,Merchant_67
CLIENT_001,2025-05-29,1443.5314965424827,KZT,credit,perfume,Транзакция perfume на сумму 1443.53 ₸,119221.51201823508,Merchant_36
CLIENT_001,2025-07-11,22217.853995843874,KZT,credit,uber,Транзакция uber на сумму 22217.85 ₸,141439.36601407896,Merchant_99
CLIENT_001,2025-09-14,-1465.129833614237,KZT,debit,образование,Транзакция образование на сумму 1465.13 ₸,139974.2361804647,Merchant_71
CLIENT_001,2025-05-24,-247.9291482073615,KZT,debit,путешествие,Транзакция путешествие на сумму 247.93 ₸,139726.30703225735,Merchant_61
CLIENT_001,2025-06-01,-14635.944261340774,KZT,debit,авиабилет,Транзакция авиабилет на сумму 14635.94 ₸,125090.36277091657,Merchant_57
CLIENT_001,2025-08-07,4155.382000218682,KZT,credit,доллар,Транзакция доллар на сумму 4155.38 ₸,129245.74477113526,Merchant_26
CLIENT_001,2025-09-08,-9560.817537867557,KZT,debit,конвертация,Транзакция конвертация на сумму 9560.82 ₸,119684.9272332677,Merchant_48
CLIENT_001,2025-07-13,492.2314571766724,KZT,credit,yandex,Транзакция yandex на сумму 492.23 ₸,120177.15869044438,Merchant_82
CLIENT_001,2025-06-07,-9940.551658443605,KZT,debit,ювелирные,Транзакция ювелирные на сумму 9940.55 ₸,110236.60703200079,Merchant_59
CLIENT_001,2025-04-27,1980.1899432949858,KZT,credit,билет,Транзакция билет на сумму 1980.19 ₸,112216.79697529577,Merchant_98
CLIENT_001,2025-06-15,-4598.911886325537,KZT,debit,фитнес,Транзакция фитнес на сумму 4598.91 ₸,107617.88508897023,Merchant_13
CLIENT_001,2025-04-29,651.3233356855794,KZT,credit,travel,Транзакция travel на сумму 651.32 ₸,108269.20842465581,Merchant_80
CLIENT_001,2025-07-27,-18332.958916653857,KZT,debit,games,Транзакция games на сумму 18332.96 ₸,89936.24950800196,Merchant_6
CLIENT_001,2025-05-24,-10898.067781716416,KZT,debit,магазин,Транзакция магазин на сумму 10898.07 ₸,79038.18172628555,Merchant_76
CLIENT_001,2025-06-11,-2980.8640518353823,KZT,debit,отдых,Транзакция отдых на сумму 2980.86 ₸,76057.31767445017,Merchant_49
CLIENT_001,2025-06-20,8083.504670453124,KZT,credit,метро,Транзакция метро на сумму 8083.50 ₸,84140.8223449033,Merchant_39
CLIENT_001,2025-07-12,-8973.175362645688,KZT,debit,отдых,Транзакция отдых на сумму 8973.18 ₸,75167.6469822576,Merchant_2
CLIENT_001,2025-03-29,4455.024786452182,KZT,credit,hotel,Транзакция hotel на сумму 4455.02 ₸,79622.67176870978,Merchant_40
CLIENT_001,2025-05-28,-8179.167117336591,KZT,debit,авиабилет,Транзакция авиабилет на сумму 8179.17 ₸,71443.5046513732,Merchant_9
CLIENT_001,2025-08-22,-14675.839335750026,KZT,debit,games,Транзакция games на сумму 14675.84 ₸,56767.66531562317,Merchant_70
CLIENT_001,2025-04-07,-5887.4105183654265,KZT,debit,uber,Транзакция uber на сумму 5887.41 ₸,50880.254797257745,Merchant_56
CLIENT_001,2025-04-09,-215.42084601533608,KZT,debit,gold,Транзакция gold на сумму 215.42 ₸,50664.833951242406,Merchant_30
CLIENT_001,2025-07-28,1861.0745791854106,KZT,credit,парфюм,Транзакция парфюм на сумму 1861.07 ₸,52525.90853042782,Merchant_84
CLIENT_001,2025-08-15,11564.751057147343,KZT,credit,online,Транзакция online на сумму 11564.75 ₸,64090.65958757517,Merchant_84
CLIENT_001,2025-06-05,-6506.203588639248,KZT,debit,отель,Транзакция отель на сумму 6506.20 ₸,57584.45599893592,Merchant_10
CLIENT_001,2025-05-03,-13853.835482591645,KZT,debit,основные траты,Транзакция основные траты на сумму 13853.84 ₸,43730.62051634427,Merchant_61
CLIENT_001,2025-05-02,-11816.842481515607,KZT,debit,отдых,Транзакция отдых на сумму 11816.84 ₸,31913.778034828665,Merchant_80
CLIENT_001,2025-07-05,12544.170206354876,KZT,credit,туризм,Транзакция туризм на сумму 12544.17 ₸,44457.94824118354,Merchant_36
CLIENT_001,2025-07-16,451.5229316398427,KZT,credit,туризм,Транзакция туризм на сумму 451.52 ₸,44909.47117282338,Merchant_84
CLIENT_001,2025-04-22,-1244.5735758430262,KZT,debit,туризм,Транзакция туризм на сумму 1244.57 ₸,43664.89759698036,Merchant_59
CLIENT_001,2025-04-25,4568.7950758803145,KZT,credit,авиабилет,Транзакция авиабилет на сумму 4568.80 ₸,48233.69267286067,Merchant_44
CLIENT_001,2025-07-22,-382.7298101259515,KZT,debit,авиабилет,Транзакция авиабилет на сумму 382.73 ₸,47850.96286273472,Merchant_6
CLIENT_001,2025-07-07,-13912.362006842926,KZT,debit,eur,Транзакция eur на сумму 13912.36 ₸,33938.6008558918,Merchant_24
CLIENT_001,2025-08-21,-6153.3943501534095,KZT,debit,yandex,Транзакция yandex на сумму 6153.39 ₸,27785.206505738388,Merchant_80
CLIENT_001,2025-06-03,5091.1641728760915,KZT,credit,топ-категории,Транзакция топ-категории на сумму 5091.16 ₸,32876.370678614476,Merchant_86
CLIENT_001,2025-09-02,5968.949913252985,KZT,credit,такси,Транзакция такси на сумму 5968.95 ₸,38845.320591867465,Merchant_77
CLIENT_001,2025-07-23,-5161.37612669108,KZT,debit,отель,Транзакция отель на сумму 5161.38 ₸,33683.944465176384,Merchant_31
CLIENT_001,2025-05-19,4828.141091748655,KZT,credit,uber,Транзакция uber на сумму 4828.14 ₸,38512.08555692504,Merchant_89
CLIENT_001,2025-04-15,-11401.005941638878,KZT,debit,игры,Транзакция игры на сумму 11401.01 ₸,27111.079615286166,Merchant_57
CLIENT_001,2025-04-13,-12013.09800430947,KZT,debit,отель,Транзакция отель на сумму 12013.10 ₸,15097.981610976696,Merchant_89
CLIENT_001,2025-08-21,6857.100766580517,KZT,credit,yandex,Транзакция yandex на сумму 6857.10 ₸,21955.082377557213,Merchant_18
CLIENT_001,2025-04-25,16834.89916053252,KZT,credit,доллар,Транзакция доллар на сумму 16834.90 ₸,38789.981538089734,Merchant_51
CLIENT_001,2025-05-10,10145.25668867481,KZT,credit,игры,Транзакция игры на сумму 10145.26 ₸,48935.238226764544,Merchant_16
CLIENT_001,2025-05-22,13142.690312693006,KZT,credit,yandex,Транзакция yandex на сумму 13142.69 ₸,62077.92853945755,Merchant_35
CLIENT_001,2025-06-07,-9401.64980478319,KZT,debit,авиабилет,Транзакция авиабилет на сумму 9401.65 ₸,52676.27873467436,Merchant_57
CLIENT_001,2025-09-03,959.8582042955044,KZT,credit,путешествие,Транзакция путешествие на сумму 959.86 ₸,53636.13693896986,Merchant_43
CLIENT_001,2025-04-08,-8215.559972032459,KZT,debit,туризм,Транзакция туризм на сумму 8215.56 ₸,45420.5769669374,Merchant_4
CLIENT_001,2025-08-19,-4518.009263548005,KZT,debit,hotel,Транзакция hotel на сумму 4518.01 ₸,40902.567703389395,Merchant_38
CLIENT_001,2025-08-24,-6317.861532489368,KZT,debit,uber,Транзакция uber на сумму 6317.86 ₸,34584.706170900026,Merchant_34
CLIENT_001,2025-03-23,-2553.1699929424467,KZT,debit,uber,Транзакция uber на сумму 2553.17 ₸,32031.53617795758,Merchant_10
CLIENT_001,2025-03-31,26910.31475568484,KZT,credit,такси,Транзакция такси на сумму 26910.31 ₸,58941.85093364242,Merchant_59
CLIENT_001,2025-03-28,-7214.812344001992,KZT,debit,обмен валют,Транзакция обмен валют на сумму 7214.81 ₸,51727.038589640426,Merchant_54
CLIENT_001,2025-05-12,-3967.670593499209,KZT,debit,uber,Транзакция uber на сумму 3967.67 ₸,47759.36799614122,Merchant_66
CLIENT_001,2025-04-13,3651.1268524703833,KZT,credit,отдых,Транзакция отдых на сумму 3651.13 ₸,51410.494848611605,Merchant_2
CLIENT_001,2025-06-04,5189.310895178978,KZT,credit,конвертация,Транзакция конвертация на сумму 5189.31 ₸,56599.80574379058,Merchant_59
CLIENT_001,2025-04-18,3919.9521846598236,KZT,fx_buy,fx_buy,Транзакция fx_buy на сумму 3919.95 ₸,60519.7579284504,Merchant_78
CLIENT_001,2025-05-28,1408.2719643008252,KZT,credit,путешествие,Транзакция путешествие на сумму 1408.27 ₸,61928.02989275123,Merchant_73
CLIENT_001,2025-05-11,22897.439185999774,KZT,credit,ресторан,Транзакция ресторан на сумму 22897.44 ₸,84825.469078751,Merchant_67
CLIENT_001,2025-07-04,1876.556118179708,KZT,credit,yandex,Транзакция yandex на сумму 1876.56 ₸,86702.02519693071,Merchant_87
CLIENT_001,2025-04-30,-2429.8463333762197,KZT,debit,jewelry,Транзакция jewelry на сумму 2429.85 ₸,84272.1788635545,Merchant_24
CLIENT_001,2025-07-16,-2257.2195690939056,KZT,debit,метро,Транзакция метро на сумму 2257.22 ₸,82014.95929446058,Merchant_41
CLIENT_001,2025-04-18,16572.547711238916,KZT,credit,кафе,Транзакция кафе на сумму 16572.55 ₸,98587.5070056995,Merchant_94
CLIENT_001,2025-04-12,-1673.6647799646735,KZT,debit,билет,Транзакция билет на сумму 1673.66 ₸,96913.84222573483,Merchant_12
CLIENT_001,2025-08-29,22837.71275498912,KZT,credit,travel,Транзакция travel на сумму 22837.71 ₸,119751.55498072394,Merchant_74
CLIENT_001,2025-05-06,4457.422320825315,KZT,credit,стриминг,Транзакция стриминг на сумму 4457.42 ₸,124208.97730154925,Merchant_7
CLIENT_001,2025-08-23,10992.411601376216,KZT,credit,такси,Транзакция такси на сумму 10992.41 ₸,135201.38890292548,Merchant_100
CLIENT_001,2025-03-20,-7239.511859165276,KZT,debit,отель,Транзакция отель на сумму 7239.51 ₸,127961.8770437602,Merchant_31
CLIENT_001,2025-04-24,-5670.284404471276,KZT,debit,software,Транзакция software на сумму 5670.28 ₸,122291.59263928894,Merchant_48
CLIENT_001,2025-05-31,-11427.556209717173,KZT,debit,кафе,Транзакция кафе на сумму 11427.56 ₸,110864.03642957176,Merchant_1
CLIENT_001,2025-08-27,-3970.8127535988187,KZT,debit,люкс,Транзакция люкс на сумму 3970.81 ₸,106893.22367597294,Merchant_53
CLIENT_001,2025-07-21,-4034.8939127749227,KZT,debit,eur,Транзакция eur на сумму 4034.89 ₸,102858.32976319802,Merchant_75
CLIENT_001,2025-08-18,-5926.808149553396,KZT,debit,hotel,Транзакция hotel на сумму 5926.81 ₸,96931.52161364463,Merchant_11
CLIENT_001,2025-05-03,12790.03711550269,KZT,credit,yandex,Транзакция yandex на сумму 12790.04 ₸,109721.55872914732,Merchant_67
CLIENT_001,2025-03-25,-12255.628139323187,KZT,debit,обмен валют,Транзакция обмен валют на сумму 12255.63 ₸,97465.93058982413,Merchant_9
CLIENT_001,2025-09-01,-5250.479518734142,KZT,debit,ювелирные,Транзакция ювелирные на сумму 5250.48 ₸,92215.45107108999,Merchant_25
CLIENT_001,2025-06-21,-6615.339168878735,KZT,debit,gold,Транзакция gold на сумму 6615.34 ₸,85600.11190221125,Merchant_35
CLIENT_001,2025-05-09,-2576.805011208205,KZT,debit,путешествие,Транзакция путешествие на сумму 2576.81 ₸,83023.30689100306,Merchant_82
CLIENT_002,2025-03-24,139136.10908037188,KZT,credit,кафе,Транзакция кафе на сумму 139136.11 ₸,400766.39137228334,Merchant_94
CLIENT_002,2025-04-17,87294.23510016428,KZT,credit,премиум,Транзакция премиум на сумму 87294.24 ₸,488060.62647244765,Merchant_37
CLIENT_002,2025-05-04,-23227.71470449231,KZT,debit,люкс,Транзакция люкс на сумму 23227.71 ₸,464832.91176795535,Merchant_64
CLIENT_002,2025-05-29,-42347.772361667165,KZT,debit,обмен валют,Транзакция обмен валют на сумму 42347.77 ₸,422485.13940628816,Merchant_87
